               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.02625,           0.0060689,                   0,              0.9701,             0.96603,               0.985,             0.68547,            0.022491,           0.0038697,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.026127,           0.0062565,                   0,              0.9683,             0.97286,             0.98763,             0.68223,            0.023163,           0.0038359,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.028877,           0.0064494,                   0,             0.95678,               0.987,             0.98609,             0.65377,            0.024401,            0.003952,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.027488,            0.006591,                   0,             0.96451,             0.98104,             0.98711,             0.65365,            0.024052,           0.0038871,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.026184,           0.0064209,                   0,             0.96123,             0.97665,             0.98287,             0.67898,            0.022417,           0.0038112,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028536,           0.0063331,                   0,             0.96434,             0.96815,             0.98703,             0.68549,            0.022308,           0.0037759,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.027081,           0.0062483,                   0,             0.96237,             0.98514,             0.98733,             0.69584,            0.021879,           0.0037931,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.026744,           0.0063904,                   0,              0.9646,             0.98354,              0.9875,             0.70035,            0.021947,           0.0037026,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02547,           0.0063202,                   0,             0.95223,             0.99151,             0.98711,             0.69221,            0.021912,           0.0037559,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.024933,            0.006173,                   0,             0.96548,             0.98726,             0.99056,              0.7172,            0.021015,           0.0036425,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.026879,           0.0062713,                   0,             0.96664,             0.98425,              0.9904,             0.70154,             0.02176,           0.0035997,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.025935,           0.0062788,                   0,             0.96268,             0.98726,             0.98906,             0.68993,            0.022328,           0.0036905,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.026932,           0.0058282,                   0,             0.95878,             0.98764,              0.9875,              0.6868,            0.022361,           0.0037509,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027075,           0.0065362,                   0,             0.96638,             0.97631,             0.98597,             0.66263,            0.023069,           0.0037448,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.023416,            0.005908,                   0,             0.96027,             0.99363,             0.99106,             0.69493,            0.021905,           0.0037388,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.026995,           0.0067511,                   0,             0.95599,             0.99151,             0.99045,             0.70662,            0.021776,           0.0036705,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025604,           0.0061586,                   0,             0.96672,             0.98089,             0.99107,             0.71115,            0.020936,           0.0036697,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.025101,           0.0063542,                   0,             0.97462,             0.97847,             0.99161,             0.70947,            0.021329,            0.003633,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,             0.02367,            0.005578,                   0,             0.96492,             0.99289,             0.98685,             0.70839,            0.020434,           0.0035779,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.024436,            0.005837,                   0,             0.96066,             0.98506,             0.98849,             0.69569,            0.022154,           0.0036455,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.024728,           0.0062207,                   0,             0.96253,             0.98177,             0.99036,             0.70401,            0.022072,           0.0036686,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.023498,           0.0060835,                   0,             0.96279,             0.98871,             0.99015,             0.69986,            0.021552,           0.0036274,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.025272,           0.0061196,                   0,             0.96841,             0.98514,              0.9891,             0.72012,            0.020547,            0.003587,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.025353,           0.0059598,                   0,             0.96869,              0.9853,             0.98926,             0.71692,            0.020319,           0.0035665,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.024767,           0.0058513,                   0,             0.96697,             0.98301,             0.99106,             0.73021,             0.02051,           0.0035402,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,             0.02566,           0.0058324,                   0,             0.96322,             0.98514,             0.98986,             0.69172,            0.021887,           0.0035924,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.024243,            0.005739,                   0,             0.97469,             0.98121,             0.99019,              0.7229,                0.02,            0.003598,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.023723,           0.0060299,                   0,             0.96027,             0.98514,             0.98859,             0.70163,            0.020933,           0.0036332,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.024385,           0.0059351,                   0,             0.96786,             0.97877,              0.9911,             0.70874,            0.020852,           0.0036468,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.024778,           0.0059296,                   0,             0.97047,             0.97687,             0.98915,             0.72201,            0.020355,           0.0035957,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.023647,           0.0060767,                   0,             0.96651,             0.98031,             0.98631,             0.70461,            0.021061,           0.0036247,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.024102,            0.005737,                   0,             0.96635,             0.97542,              0.9874,             0.69569,            0.022292,           0.0035468,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.025489,           0.0055921,                   0,             0.95869,             0.98547,             0.98749,             0.72267,            0.020371,           0.0035568,                   0,           0.0082378,           0.0082378,           0.0082378
